Entity,Code,Year,Mean male height (cm),Mean female height (cm),World region according to OWID,time
Turkmenistan,TKM,1996,171.9696756,161.7255615,Asia,2023
Tuvalu,TUV,1996,169.6401783,158.1003285,Oceania,2023
Uganda,UGA,1996,165.6249322,156.7187975,Africa,2023
Ukraine,UKR,1996,178.457049,166.3392264,Europe,2023
United Arab Emirates,ARE,1996,170.4554301,158.6805869,Asia,2023
United Kingdom,GBR,1996,177.4901885,164.4020547,Europe,2023
United States,USA,1996,177.1303957,163.5381372,North America,2023
Uruguay,URY,1996,173.432458,162.1282089,South America,2023
Uzbekistan,UZB,1996,169.3845113,157.8159752,Asia,2023
Vanuatu,VUT,1996,168.0931899,158.1717491,Oceania,2023
Venezuela,VEN,1996,171.5942721,157.435303,South America,2023
Vietnam,VNM,1996,164.4455519,153.5935076,Asia,2023
World,OWID_WRL,1996,171.2803524,159.4916899,,1996
Yemen,YEM,1996,159.8869411,153.9703771,Asia,2023
Zambia,ZMB,1996,166.5171435,155.8213586,Africa,2023
Zimbabwe,ZWE,1996,168.5860045,158.2151861,Africa,2023
