label,Species,age,lg10_hr
1,Mouse,4.07,2.71742
2,Hamster,6.727,2.64549
3,Rat,10.368,2.48258
4,Marmot,20.297,2.21404
5,Monkey,24.054,2.34306
6,Dog,29.518,2.06998
7,Cat,31.879,2.20864
8,Tiger,31.908,1.8497
9,Giraffe,34.832,1.93091
10,Ass,34.847,1.74426
11,Elephant,53.841,1.53746
12,Lion,55.509,1.61873
13,Horse,56.339,1.70962
14,Whale,60.271,1.39354
16,Human,78.374,1.84245
